Title,Content,Country,Type,year,country,Image,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Κονγκo,News,2021,Κονγκo,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Μπουρουντι,News,2021,Μπουρουντι,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
ΠΡΑΚΤΙΚΟ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΤΗΣ ΟΡΓΑΝΩΣΗΣ ΜΕ ΤΗΝ ΕΠΩΝΥΜΙΑ  <<ΑΝΘΡΩΠΟΙ ΑΓΑΠΗΣ >> της  16ης ΜΑΡΤΙΟΥ  2019 ΓΙΑ ΤΗΝ ΣΥΓΚΡΟΤΗΣΗ ΣΕ ΣΩΜΑ,"Στην Ν. Χαλκηδόνα σήμερα την 16/3/2019 ημέρα Σάββατο και ώρα 15.00 μ.μ. επί της οδού Αγ. Αναργύρων 11 συνήλθαν τα νεοεκλεγέντα από την Γενική Συνέλευση της 9ης Μαρτίου 2019 μέλη του Διοικητικού Συμβουλίου της μη κερδοσκοπικής οργάνωσης με την επωνυμία «Άνθρωποι Αγάπης».
Στη συνεδρίαση παρέστησαν:
1. Γεωργία Χατζήβεη του Ιωάννη.
2. Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου.
3. Ερμιόνη   Δημητροπούλου του Ιωάννου
4.  Ιωάννα-Νεκταρία Κυριαζή του Κωνσταντίνου
5. Ελένη Πατσουλέ του Γεωργίου
Διαπιστώθηκε απαρτία και άρχισε η συνεδρίασή του.
1:  Συγκρότηση σε σώμα του Διοικητικού Συμβουλίου και εκλογή Προέδρου, Αντιπροέδρου, Γενικού Γραμματέα και Ταμία .
         Η εκ των μελών του Διοικητικού Συμβουλίου κα Γεωργία Χατζήβεη εκθέτει ότι οι παρόντες εξελέγησαν από την Γενική Συνέλευση της 12ης Μαρτίου 2019 ως μέλη του Διοικητικού Συμβουλίου, το οποίο θα διοικήσει την οργάνωση για την επόμενη τριετία.
     Μετά τα ανωτέρω το Διοικητικό Συμβούλιο της οργάνωσης συγκροτείται σε σώμα, διεξαχθείσης δε μεταξύ των μελών του σχετικής ψηφοφορίας εκλέγεται ομόφωνα η κα Γεωργία Χατζήβεη του Ιωάννη ως Πρόεδρος αυτού για ολόκληρο το διάστημα της θητείας των μελών του Δ.Σ., Αντιπρόεδρος η κ. Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου, Γενικός Γραμματέας η κ.Ιωάννα-Νεκταρία Κυριαζή  του Κωνσταντίνου, Ταμίας η κ. Ερμιόνη  Δημητροπούλου  και Μέλος η κ.Ελένη Πατσουλέ για το ίδιο χρονικό διάστημα.
     Έτσι το Διοικητικό Συμβούλιο το οποίο θα διοικήσει την μη κερδοσκοπική οργάνωση με την επωνυμία «Άνθρωποι Αγάπης» μέχρι την Τακτική Γενική Συνέλευση που θα εγκρίνει τις ετήσιες οικονομικές καταστάσεις της χρήσεως που λήγει την 31/12/2016, συγκροτείται σε σώμα ως εξής:
1. Γεωργία Χατζήβεη του Ιωάννη, κάτοικος  Ν. Φιλαδέλφειας, οδός  Αδάνων 17, γεννηθείσα το 1947 με αρ.ταυτ. Ι 349342/31.5.1973 Τ.Α. Ν. Φιλαδέλφειας, Πρόεδρος του Διοικητικού Συμβουλίου.
2. Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου, κάτοικος Αμαρουσίου, οδός Βασ.Αλεξάνδρου 16Α, γεννηθείσα το 1972 με αρ.ταυτ. Χ 587081/25.8.2003 Τ.Α. Αμαρουσίου, Αντιπρόεδρος του Διοικητικού Συμβουλίου.
3. Ιωάννα-Νεκταρία Κυριαζή του Κωνσταντίνου, κάτοικος Ν. Φιλαδέλφειας, οδός Ζαίμη 18, γεννηθείσα το 1974 με αρ.ταυτ. Π. 323862, Γενική Γραμματέας.
4. Ερμιόνη  Δημητροπούλου  του Ιωάννη , κάτοικος Αθηνών,  οδός Τσαμαδού 4 γεννηθείσα το 1940 με αρ. ταυτ. Α Ζ 627701 Ταμίας.
5. Ελένη Πατσουλέ του Γεωργίου, κάτοικος Ζωγράφου, οδός Παπαδιαμαντοπούλου 97, γεννηθείσα το 1962 με αρ.ταυτ. Λ 290096, μέλος του Διοικητικού Συμβουλίου.
Το Διοικητικό Συμβούλιο μετά από πρόταση της Προέδρου αυτού εξουσιοδοτεί τον ταμία του Διοικητικού Συμβουλίου να ενεργεί εισπράξεις, πληρωμές, καταθέσεις και αναλήψεις και γενικά ό,τι ορίζεται από το άρθρο 11.5 αυτού, από την την Εθνική Τράπεζα και την Alpha bank.
Μετά από αυτό και εφόσον δεν υπάρχει άλλο θέμα, λύεται η συνεδρίαση του Διοικητικού Συμβουλίου.
Η Πρόεδρος                H Γενική  Γραμματέας            Η Ταμίας

Γεωργία Χατζήβεη       Ιωάννα-Νεκταρία Κυριαζή        Ερμιόνη  Δημητροπούλου

Η Ανιπρόεδρος           Μέλος

Σμαράγδα Τσίχλη     Ελένη Πατσουλέ",Ελλάδα,News,2021,ΟΡΓΑΝΙΣΜΟΣ,,
Αγάπη!,"**Η αγάπη είναι υπέροχο πράγμα! **

Είναι πιο πολύτιμη από τα όμορφα οπάλια!
Τα μαργαριτάρια και τα ρόδα δεν μπορούν να την αγοράσουν,
ούτε πουλιέται στην αγορά!
Δεν μπορούν να την αγοράσουν οι έμποροι
και ούτε μπορούν να την ζυγίσουν,
με χρυσάφι στη ζυγαριά τους!
Το όνομα του Θεού είναι η αγάπη!

Όσκαρ  Ουάιλντ",Ελλάδα,News,2021,Ελλάδα,facebook_1614326380798_6770975596290595935.jpg,
ΠΡΑΚΤΙΚΟ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ  ΤΗΣ ΟΡΓΑΝΩΣΗΣ ΜΕ ΤΗΝ ΕΠΩΝΥΜΙΑ  <<ΑΝΘΡΩΠΟΙ ΑΓΑΠΗΣ >>  της  16ης ΜΑΡΤΙΟΥ  2019 ΓΙΑ ΤΗΝ ΣΥΓΚΡΟΤΗΣΗ ΣΕ ΣΩΜΑ,"Στην Ν. Χαλκηδόνα σήμερα την 16/3/2019 ημέρα Σάββατο και ώρα 15.00 μ.μ. επί της οδού Αγ. Αναργύρων 11 συνήλθαν τα νεοεκλεγέντα από την Γενική Συνέλευση της 9ης Μαρτίου 2019 μέλη του Διοικητικού Συμβουλίου της μη κερδοσκοπικής οργάνωσης με την επωνυμία «Άνθρωποι Αγάπης».

Στη συνεδρίαση παρέστησαν:

Γεωργία Χατζήβεη του Ιωάννη.
Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου.
Ερμιόνη Δημητροπούλου του Ιωάννου
Ιωάννα-Νεκταρία Κυριαζή του Κωνσταντίνου
Ελένη Πατσουλέ του Γεωργίου
Διαπιστώθηκε απαρτία και άρχισε η συνεδρίασή του.

1:  Συγκρότηση σε σώμα του Διοικητικού Συμβουλίου και εκλογή Προέδρου, Αντιπροέδρου, Γενικού Γραμματέα και Ταμία .

Η εκ των μελών του Διοικητικού Συμβουλίου κα Γεωργία Χατζήβεη εκθέτει ότι οι παρόντες εξελέγησαν από την Γενική Συνέλευση της 12ης Μαρτίου 2016 ως μέλη του Διοικητικού Συμβουλίου, το οποίο θα διοικήσει την οργάνωση για την επόμενη τριετία.

Μετά τα ανωτέρω το Διοικητικό Συμβούλιο της οργάνωσης συγκροτείται σε σώμα, διεξαχθείσης δε μεταξύ των μελών του σχετικής ψηφοφορίας εκλέγεται ομόφωνα η κα Γεωργία Χατζήβεη του Ιωάννη ως Πρόεδρος αυτού για ολόκληρο το διάστημα της θητείας των μελών του Δ.Σ., Αντιπρόεδρος η κ. Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου, Γενικός Γραμματέας η κ.Ιωάννα-Νεκταρία Κυριαζή  του Κωνσταντίνου, Ταμίας η κ. Ερμιόνη  Δημητροπούλου  και Μέλος η κ.Ελένη Πατσουλέ για το ίδιο χρονικό διάστημα.

Έτσι το Διοικητικό Συμβούλιο το οποίο θα διοικήσει την μη κερδοσκοπική οργάνωση με την επωνυμία «Άνθρωποι Αγάπης» μέχρι την Τακτική Γενική Συνέλευση που θα εγκρίνει τις ετήσιες οικονομικές καταστάσεις της χρήσεως που λήγει την 31/12/2016, συγκροτείται σε σώμα ως εξής:

Γεωργία Χατζήβεη του Ιωάννη, κάτοικος  Ν. Φιλαδέλφειας, οδός  Αδάνων 17, γεννηθείσα το 1947 με αρ.ταυτ. Ι 349342/31.5.1973 Τ.Α. Ν. Φιλαδέλφειας, Πρόεδρος του Διοικητικού Συμβουλίου.
Σμαράγδα Τσίχλη του Στυλιανού-Γεωργίου, κάτοικος Αμαρουσίου, οδός Βασ.Αλεξάνδρου 16Α, γεννηθείσα το 1972 με αρ.ταυτ. Χ 587081/25.8.2003 Τ.Α. Αμαρουσίου, Αντιπρόεδρος του Διοικητικού Συμβουλίου.
Ιωάννα-Νεκταρία Κυριαζή του Κωνσταντίνου, κάτοικος Ν. Φιλαδέλφειας, οδός Ζαίμη 18, γεννηθείσα το 1974 με αρ.ταυτ. Π. 323862, Γενική Γραμματέας.
Ερμιόνη  Δημητροπούλου  του Ιωάννη , κάτοικος Αθηνών,  οδός Τσαμαδού 4 γεννηθείσα το 1940 με αρ. ταυτ. Α Ζ 627701 Ταμίας.
Ελένη Πατσουλέ του Γεωργίου, κάτοικος Ζωγράφου, οδός Παπαδιαμαντοπούλου 97, γεννηθείσα το 1962 με αρ.ταυτ. Λ 290096, μέλος του Διοικητικού Συμβουλίου.
Το Διοικητικό Συμβούλιο μετά από πρόταση της Προέδρου αυτού εξουσιοδοτεί τον ταμία του Διοικητικού Συμβουλίου να ενεργεί εισπράξεις, πληρωμές, καταθέσεις και αναλήψεις και γενικά ό,τι ορίζεται από το άρθρο 11.5 αυτού, από την την Εθνική Τράπεζα και την Alpha bank.

Μετά από αυτό και εφόσον δεν υπάρχει άλλο θέμα, λύεται η συνεδρίαση του Διοικητικού Συμβουλίου.

Η Πρόεδρος                 H Γενική  Γραμματέας             Η Ταμίας

Γεωργία Χατζήβεη        Ιωάννα-Νεκταρία Κυριαζή         Ερμιόνη  Δημητροπούλου

Η Ανιπρόεδρος                              Μέλος

Σμαράγδα Τσίχλη                         Ελένη Πατσουλέ",Ελλάδα,News,2019,ΟΡΓΑΝΙΣΜΟΣ,,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Ελλάδα,News,2021,Ελλάδα,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Δώρα  αγάπης  για το νέο έτος  2021 -  Μπουρούντι Αφρικής,"Στο μακρινό Μπουρούντι της Αφρικής, οι άνθρωποι ζουν πολύ φτωχικά.  Για ένα πιάτο φασόλια, που είναι το μοναδικό  καθημερινό τους φαγητό, για ένα παλιό ρούχο, για λίγο καθαρό νερό, νιώθουν μεγάλη ευλογία!

Νιώσαμε χαρά που παρά τις δυσκολίες μπορέσαμε να βοηθήσουμε με τρόφιμα, κάποια παιδιά και κάποιους συνασθρώπους μαςστη μακρινή αυτή φτωχική χώρα!",Μπουρουντι,News,2021,Μπουρουντι,,
Δώρα  αγάπης  για το νέο έτος  2021 -  Πιάτα αγάπης,"Με το πρόγραμμα των «Ανθρώπων αγάπης»  «πιάτα αγάπης», προσφέραμε στους συνανθρώπους μας στη Ν. Φιλαδέλφεια, τρόφιμα και λίγα χρήματα για το πρωτοχρονιάτικο τραπέζι.",Ελλάδα,News,2021,Ελλάδα,,
 Δώρα  αγάπης  για το νέο έτος  2021 -  Σπίτι του Πολίτη,"Καλωσορίσαμε το νέο έτος 2021 και νιώσαμε τη χαρά και την ελπίδα που προσμένουμε από τη νέα χρονιά και γιορτάσαμε με τους αγαπημένους μας ανθρώπους στο γιορτινό τραπέζι.

Όπως νιώσαμε και μεγάλη χαρά, που προσφέραμε πρωτοχρονιάτικο γεύμα στους συνανθρώπους μας στο «Σπίτι του Πολίτη».",Ελλάδα,News,2021,Ελλάδα,,
 Δώρα  αγάπης  για το νέο έτος  2021 -  28  Δημοτικό σχολείο,"Με τον ερχομό του νέου έτους 2021 , που ευχόμαστε να είναι φωτεινό, χαρούμενο, ελπιδοφόρο και καθώς με μεγάλη χαρά όλων των παιδιών άνοιξαν τα Δημοτικά σχολεία, μπορέσαμε να στείλουμε τα δώρα της αγάπης μας στα παιδιά του 28 Δημοτικού σχολείου στο Δήμο Μενιδίου.

Η ομάδα των καλών εθελοντών μας με όλη τους την αγάπη, όλο τον Νοέμβριο και τον Δεκέμβριο έπλεκαν. Έτσι έπλεξαν πολύ όμορφα και ζεστά κασκόλ και σκουφιά για τα παιδιά. Μαζί στείλαμε και βιβλία για τα μεγαλύτερα παιδιά, ώστε όλα τα παιδιά να πάρουν από ένα δώρο.",Ελλάδα,News,2021,Ελλάδα,πλεκτά.jpg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Τανζανια,News,2020,Τανζανια,γέννηση.jpeg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Ουγκαντα,News,2020,Ουγκαντα,γέννηση.jpeg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Ρουαντα,News,2020,Ρουαντα,γέννηση.jpeg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Ρουαντα,News,2020,Ρουαντα,,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Κονγκo,News,2020,Κονγκo,γέννηση.jpeg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!",Μπουρουντι,News,2020,Μπουρουντι,γέννηση.jpeg,
Χριστουγεννιάτικες ευχές,"Αγαπημένοι μου φίλοι,

εύχομαι το χαρμόσυνο μήνυμα για τη γέννηση του Χριστού μας, να πλημμυρίσει τις καρδιές μας και τις καρδιές όλων των ανθρώπων του κόσμου με φως, αγάπη, ελπίδα! Φωτεινό, χαρούμενο, ελπιδοφόρο το νέο έτος 2021!

Γεωργία Χατζήβεη",Ελλάδα,News,2020,Ελλάδα,γέννηση.jpg,
"Ευχαριστήρια επιστολή από τον σύλλογο ""Κιβωτός""",,Ελλάδα,News,2020,Ελλάδα,005.jpg,
"Ευχαριστήρια επιστολή από τον σύλλογο ""Ανοιχτή αγκαλιά""",,Ελλάδα,News,2020,Ελλάδα,004.jpg,
Συγχαρητήρια επιστολή από τον Αρχιεπίσκοπο Αθηνών και Πάσης Ελλάδος,,Ελλάδα,News,2020,Ελλάδα,003.jpg,
Ευχαριστήρια επιστολή από το Φιλόπτωχο ταμείου του Ιερού Ναού Κοιμήσεως Θεοτόκου,,Ελλάδα,News,2020,Ελλάδα,002.jpg,
"Ευχαριστήρια επιστολή από το ""Κοινωνικό παντοπωλείο"" Νέας Φιλαδέλφειας",,Ελλάδα,News,2020,Ελλάδα,001.jpg,
